symbol,announce_time,session,analyst_surprise,source
HD,2022-02-22 06:14:11,bmo,,sec_8k_2.02
ORCL,2022-03-10 16:10:37,amc,,sec_8k_2.02
JPM,2022-04-13 06:46:25,bmo,,sec_8k_2.02
GS,2022-04-14 07:50:17,bmo,,sec_8k_2.02
BAC,2022-04-18 06:47:53,bmo,,sec_8k_2.02
JNJ,2022-04-19 07:56:38,bmo,,sec_8k_2.02
PG,2022-04-20 07:02:28,bmo,,sec_8k_2.02
PFE,2022-04-20 16:41:43,amc,,sec_8k_2.02
KO,2022-04-25 06:57:33,bmo,,sec_8k_2.02
GOOGL,2022-04-26 16:01:32,amc,,sec_8k_2.02
MSFT,2022-04-26 16:03:59,amc,,sec_8k_2.02
META,2022-04-27 16:07:54,amc,,sec_8k_2.02
INTC,2022-04-28 12:09:32,intraday,,sec_8k_2.02
AMZN,2022-04-28 16:27:13,amc,,sec_8k_2.02
AAPL,2022-04-28 16:32:12,amc,,sec_8k_2.02
CVX,2022-04-29 06:16:49,bmo,,sec_8k_2.02
PFE,2022-05-03 08:08:57,bmo,,sec_8k_2.02
HD,2022-05-17 06:15:30,bmo,,sec_8k_2.02
WMT,2022-05-17 06:58:42,bmo,,sec_8k_2.02
CSCO,2022-05-18 16:10:07,amc,,sec_8k_2.02
NVDA,2022-05-25 16:22:25,amc,,sec_8k_2.02
ORCL,2022-06-13 16:31:53,amc,,sec_8k_2.02
ORCL,2022-07-11 16:36:09,amc,,sec_8k_2.02
JPM,2022-07-14 06:45:42,bmo,,sec_8k_2.02
BAC,2022-07-18 06:45:52,bmo,,sec_8k_2.02
GS,2022-07-18 07:31:44,bmo,,sec_8k_2.02
JNJ,2022-07-19 07:59:43,bmo,,sec_8k_2.02
KO,2022-07-26 07:01:38,bmo,,sec_8k_2.02
GOOGL,2022-07-26 16:02:00,amc,,sec_8k_2.02
MSFT,2022-07-26 16:02:59,amc,,sec_8k_2.02
META,2022-07-27 16:07:22,amc,,sec_8k_2.02
PFE,2022-07-28 08:09:00,bmo,,sec_8k_2.02
INTC,2022-07-28 12:06:34,intraday,,sec_8k_2.02
AMZN,2022-07-28 16:09:30,amc,,sec_8k_2.02
AAPL,2022-07-28 16:31:44,amc,,sec_8k_2.02
CVX,2022-07-29 06:16:50,bmo,,sec_8k_2.02
PG,2022-07-29 07:05:59,bmo,,sec_8k_2.02
NVDA,2022-08-08 09:16:50,bmo,,sec_8k_2.02
